# FINAL ESTIMATION PANEL v2 — Panoptic upsilon identification (phase 10, plan 10-10).
# One row per POSITION-EPOCH (tokenId x hourly epoch) — the spec section-1 unit of
# observation, restored by plan 10-09. Supersedes estimation-panel.csv, which is the
# Phase-9 accrual-SPELL export and is retained unchanged.
# git commit: ddf649e
# LHS source : notes/structural-econometrcics/data/panel-epoch.csv
# RHS source : notes/structural-econometrcics/data/variance-hourly.csv (joined on epoch, exact integer match)
# tokenId  : account#tokenId (the tokenId clustering label; account = prefix before #)
# epoch    : hourly index floor(unixSeconds/3600) — the epoch the premium ACCRUED in
# pi       : premium accrued to the SHORT side over the epoch, ETH (a FLOW, not a stock)
# sigma2   : realized variance of the epoch, from the joined variance series
# sigma2_instrument : disjoint even-swap sub-window RV of the same epoch (EIV instrument)
# distance : moneyness d = |i_K - i_t| in ticks, i_t = the epoch's mean pool tick
tokenId,epoch,pi,sigma2,sigma2_instrument,distance
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493982,4.76635436e-10,1.1298870103573927e-6,1.7498250160402083e-6,390.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493983,3.64472274e-10,2.1497850197065438e-6,3.1896810292390113e-6,390.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493984,2.86742124e-10,1.209879011090659e-6,1.7098290156735748e-6,347.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493985,4.62314388e-10,3.479652031897104e-6,5.3894610494038326e-6,307.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493986,3.23573816e-10,1.2198780111823174e-6,1.6998300155819169e-6,294.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493987,2.17411512e-10,3.7996200348301665e-6,3.959604036296699e-6,306.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493988,1.39612534e-10,1.9998000183316675e-7,2.3997600219980005e-7,305.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493989,2.968866e-11,1.3998600128321666e-7,1.5998400146653332e-7,305.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493990,1.72547418e-10,4.5995400421628325e-7,6.699330061411084e-7,302.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493991,2.06748178e-10,3.199680029330667e-7,4.399560040329666e-7,313.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493992,3.96462008e-10,1.44985501329046e-6,1.3498650123738756e-6,319.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493993,2.0501722e-10,6.299370057744752e-7,7.699230070576922e-7,341.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493994,1.33887242e-10,4.999500045829166e-7,6.599340060494503e-7,331.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493995,2.80860556e-10,1.0798920098991004e-6,1.3998600128321668e-6,313.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493996,1.5124987e-10,1.3398660122822166e-6,1.5798420144820164e-6,313.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493997,1.13888042e-10,2.399760021998001e-7,2.3997600219980005e-7,311.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493998,3.804256e-12,5.999400054995e-8,5.999400054995e-8,311.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493999,1.25374584e-10,2.899710026580917e-7,3.899610035746748e-7,307.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494000,1.63814564e-10,1.2898710118239254e-6,1.0298970094408086e-6,308.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494001,1.81781716e-10,3.999600036663332e-7,4.999500045829166e-7,303.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,494002,2.87817772e-10,2.1497850197065425e-6,2.329767021356392e-6,323.0
