# epoch-blocks.csv — HOURLY epoch -> first Base block at or after epoch*3600
# RPC: https://mainnet.base.org   built: 2026-07-21
# epoch rule: Panel.Build.epochOfSeconds 3600 (single source of truth); boundary instant = epoch * 3600
# window blocks 43781657..48879461; columns: epoch, block_number, block_timestamp (unix seconds)
epoch,block_number,block_timestamp
493443,44802727,1776394801
493444,44804527,1776398401
493445,44806327,1776402001
493446,44808127,1776405601
493447,44809927,1776409201
493448,44811727,1776412801
493449,44813527,1776416401
493450,44815327,1776420001
493451,44817127,1776423601
493452,44818927,1776427201
493453,44820727,1776430801
493454,44822527,1776434401
493455,44824327,1776438001
493456,44826127,1776441601
493457,44827927,1776445201
493458,44829727,1776448801
493459,44831527,1776452401
493460,44833327,1776456001
493461,44835127,1776459601
493462,44836927,1776463201
493463,44838727,1776466801
493464,44840527,1776470401
493465,44842327,1776474001
493466,44844127,1776477601
493467,44845927,1776481201
493468,44847727,1776484801
493469,44849527,1776488401
493470,44851327,1776492001
493471,44853127,1776495601
493472,44854927,1776499201
493473,44856727,1776502801
493474,44858527,1776506401
493475,44860327,1776510001
493476,44862127,1776513601
493477,44863927,1776517201
493478,44865727,1776520801
493479,44867527,1776524401
493480,44869327,1776528001
493481,44871127,1776531601
493482,44872927,1776535201
493483,44874727,1776538801
493484,44876527,1776542401
493485,44878327,1776546001
493486,44880127,1776549601
493487,44881927,1776553201
493488,44883727,1776556801
493489,44885527,1776560401
493490,44887327,1776564001
493491,44889127,1776567601
493492,44890927,1776571201
493493,44892727,1776574801
493494,44894527,1776578401
493495,44896327,1776582001
493496,44898127,1776585601
493497,44899927,1776589201
493498,44901727,1776592801
493499,44903527,1776596401
493500,44905327,1776600001
493501,44907127,1776603601
493502,44908927,1776607201
493503,44910727,1776610801
493504,44912527,1776614401
493505,44914327,1776618001
493506,44916127,1776621601
493507,44917927,1776625201
493508,44919727,1776628801
493509,44921527,1776632401
493510,44923327,1776636001
493511,44925127,1776639601
493512,44926927,1776643201
493513,44928727,1776646801
493514,44930527,1776650401
493515,44932327,1776654001
493516,44934127,1776657601
493517,44935927,1776661201
493518,44937727,1776664801
493519,44939527,1776668401
493520,44941327,1776672001
493521,44943127,1776675601
493522,44944927,1776679201
493523,44946727,1776682801
493524,44948527,1776686401
493525,44950327,1776690001
493526,44952127,1776693601
493527,44953927,1776697201
493528,44955727,1776700801
493529,44957527,1776704401
493530,44959327,1776708001
493531,44961127,1776711601
493532,44962927,1776715201
493533,44964727,1776718801
493534,44966527,1776722401
493535,44968327,1776726001
493536,44970127,1776729601
493537,44971927,1776733201
493538,44973727,1776736801
493539,44975527,1776740401
493540,44977327,1776744001
493541,44979127,1776747601
493542,44980927,1776751201
493543,44982727,1776754801
493544,44984527,1776758401
493545,44986327,1776762001
493546,44988127,1776765601
493547,44989927,1776769201
493548,44991727,1776772801
493549,44993527,1776776401
493550,44995327,1776780001
493551,44997127,1776783601
493552,44998927,1776787201
493553,45000727,1776790801
493554,45002527,1776794401
493555,45004327,1776798001
493556,45006127,1776801601
493557,45007927,1776805201
493558,45009727,1776808801
493559,45011527,1776812401
493560,45013327,1776816001
493561,45015127,1776819601
493562,45016927,1776823201
493563,45018727,1776826801
493564,45020527,1776830401
