# Base V4 Swap ticks cache (poolId 0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a)
# columns: timestamp_unix,tick  (decoded from V4 Swap log data word 4)
timestamp_unix,tick
1784338969,-201142
1784338971,-201142
1784338971,-201142
1784338971,-201142
1784338971,-201142
1784338973,-201140
1784338973,-201140
1784338973,-201142
1784338973,-201142
1784338973,-201142
1784338975,-201141
1784338975,-201140
1784338975,-201140
1784338975,-201140
1784338975,-201141
1784338975,-201141
1784338975,-201141
1784338977,-201141
1784338977,-201140
1784338977,-201140
1784338977,-201141
1784338977,-201145
1784338977,-201145
1784338979,-201145
1784338981,-201145
1784338981,-201146
1784338981,-201146
1784338981,-201145
1784338981,-201145
1784338983,-201145
1784338983,-201145
1784338983,-201145
1784338985,-201144
1784338985,-201143
1784338985,-201138
1784338985,-201138
1784338985,-201138
1784338985,-201141
1784338987,-201141
1784338987,-201142
1784338987,-201143
1784338987,-201143
1784338987,-201143
1784338987,-201143
1784338989,-201144
1784338989,-201144
1784338989,-201144
1784338989,-201142
1784338989,-201142
1784338989,-201141
1784338991,-201141
1784338991,-201141
1784338991,-201141
1784338991,-201140
1784338991,-201140
1784338991,-201139
1784338991,-201141
1784338991,-201141
1784338993,-201142
1784338997,-201145
1784338999,-201145
1784338999,-201145
1784339001,-201146
1784339001,-201145
1784339001,-201145
1784339001,-201143
1784339001,-201142
1784339003,-201142
1784339003,-201142
1784339005,-201140
1784339005,-201141
1784339005,-201141
1784339007,-201141
1784339009,-201141
1784339011,-201141
1784339011,-201142
1784339011,-201147
1784339011,-201147
1784339011,-201148
1784339011,-201148
1784339011,-201148
1784339011,-201148
1784339011,-201148
1784339011,-201148
1784339011,-201148
1784339011,-201147
1784339011,-201147
1784339011,-201143
1784339011,-201143
1784339013,-201143
1784339013,-201143
1784339013,-201143
1784339013,-201143
1784339013,-201141
1784339013,-201141
1784339013,-201141
1784339013,-201140
1784339013,-201140
1784339013,-201141
1784339013,-201141
1784339013,-201139
1784339015,-201141
1784339015,-201141
1784339015,-201141
1784339015,-201141
1784339015,-201139
1784339015,-201140
1784339015,-201139
1784339015,-201141
1784339015,-201140
1784339015,-201140
1784339015,-201139
1784339015,-201141
1784339017,-201140
1784339017,-201140
1784339017,-201140
1784339017,-201138
1784339017,-201138
1784339017,-201141
1784339017,-201141
1784339017,-201141
1784339019,-201139
1784339019,-201138
1784339019,-201138
1784339019,-201139
1784339019,-201141
1784339019,-201141
1784339021,-201138
1784339021,-201139
1784339021,-201139
1784339021,-201139
1784339021,-201139
1784339021,-201138
1784339021,-201140
1784339021,-201143
1784339021,-201143
1784339021,-201143
1784339021,-201142
1784339023,-201142
1784339023,-201142
1784339023,-201141
1784339023,-201141
1784339023,-201141
1784339023,-201140
1784339023,-201140
1784339023,-201139
1784339023,-201140
1784339025,-201140
1784339025,-201141
1784339025,-201141
1784339027,-201141
1784339027,-201140
1784339027,-201140
1784339027,-201141
1784339027,-201140
1784339027,-201139
1784339027,-201139
1784339029,-201140
1784339029,-201139
1784339029,-201139
1784339029,-201140
1784339029,-201141
1784339029,-201141
1784339031,-201139
1784339031,-201139
1784339031,-201139
1784339031,-201138
1784339031,-201138
1784339031,-201140
1784339031,-201137
1784339031,-201137
1784339031,-201140
1784339033,-201140
1784339033,-201140
1784339033,-201140
1784339035,-201140
1784339035,-201140
1784339035,-201140
1784339035,-201139
1784339039,-201142
1784339039,-201142
1784339039,-201142
1784339039,-201142
1784339039,-201143
1784339039,-201143
1784339041,-201143
1784339041,-201144
1784339041,-201143
1784339043,-201143
1784339043,-201144
1784339043,-201144
1784339043,-201144
1784339043,-201143
