# premium-accumulators.csv — SFPM getAccountPremium X64 accumulators, one row per scheduled read
# built: 2026-07-21   RPC: https://mainnet.base.org (failover https://base.drpc.org)
# SFPM: 0x8dcAa08cF298F8b4830FAf56d47930981AdE33af   vegoid: 8
# schedule rows: 8910   block range: 43781657..48157721
# accumulators and liquidity are DECIMAL Integer strings (they exceed 2^63; a Double round-trip would lose precision)
# columns: token_type,tick_lower,tick_upper,block,is_long,at_tick,acc0_x64,acc1_x64,net_liquidity,removed_liquidity,epoch,endpoint
token_type,tick_lower,tick_upper,block,is_long,at_tick,acc0_x64,acc1_x64,net_liquidity,removed_liquidity,epoch,endpoint
1,-201360,-198960,43876030,0,-199975,0,0,375299581370,0,492928,mint
1,-201360,-198960,43916751,0,-200423,48834777262767043477,90243165195,0,0,492950,burn
0,-198480,-196080,43917127,0,-200234,0,0,433424402001,0,492951,
0,-201840,-199440,43917127,0,-200234,404524543532612799,2013836371,366400057820,0,492951,
0,-198480,-196080,43918927,0,-200234,0,0,433424402001,0,492952,
0,-201840,-199440,43918927,0,-200234,4343451220180505541,10119527766,366400057820,0,492952,
0,-198480,-196080,43916722,0,-200433,0,0,433424402001,0,492950,mint
0,-201840,-199440,43916722,0,-200433,195155898514602,0,366400057820,0,492950,mint
0,-198480,-196080,43920127,0,-200405,0,0,0,0,492952,burn
0,-201840,-199440,43920127,0,-200405,6001825615411642840,12485785503,0,0,492952,burn
1,-201120,-198720,43935127,1,-200275,156249266852591600226,306925346633,1139490236,2658810548,492961,
0,-201120,-198720,43935127,1,-200275,51554502094551968117,86507795788,1139490236,2658810548,492961,
1,-201120,-198720,43936927,1,-200275,157072076991082747127,306925346633,1139490236,2658810548,492962,
0,-201120,-198720,43936927,1,-200275,52377312233043115018,86507795788,1139490236,2658810548,492962,
1,-201120,-198720,43938727,1,-200275,157641843987022084366,306925346633,1139490236,2658810548,492963,
0,-201120,-198720,43938727,1,-200275,52947079228982452257,86507795788,1139490236,2658810548,492963,
1,-201120,-198720,43940527,1,-200275,157710290356677044921,306925346633,1139490236,2658810548,492964,
0,-201120,-198720,43940527,1,-200275,53015525598637412812,86507795788,1139490236,2658810548,492964,
1,-201120,-198720,43942327,1,-200275,157954321153492588528,306925346633,1139490236,2658810548,492965,
0,-201120,-198720,43942327,1,-200275,53259556395452956419,86507795788,1139490236,2658810548,492965,
1,-201120,-198720,43944127,1,-200275,158060515614315848936,306925346633,1139490236,2658810548,492966,
0,-201120,-198720,43944127,1,-200275,53365750856276216827,86507795788,1139490236,2658810548,492966,
1,-201120,-198720,43945927,1,-200275,158691570914779263497,306925346633,1139490236,2658810548,492967,
0,-201120,-198720,43945927,1,-200275,53996806156739631388,86507795788,1139490236,2658810548,492967,
1,-201120,-198720,43947727,1,-200275,158768214631626596460,306925346633,1139490236,2658810548,492968,
0,-201120,-198720,43947727,1,-200275,54073449873586964351,86507795788,1139490236,2658810548,492968,
1,-201120,-198720,43949527,1,-200275,159351221046389323430,306925346633,1139490236,2658810548,492969,
0,-201120,-198720,43949527,1,-200275,54656456288349691321,86507795788,1139490236,2658810548,492969,
1,-201120,-198720,43951327,1,-200275,159885894279469148677,306925346633,1139490236,2658810548,492970,
0,-201120,-198720,43951327,1,-200275,55191129521429516568,86507795788,1139490236,2658810548,492970,
1,-201120,-198720,43953127,1,-200275,160770672619796942222,306925346633,1139490236,2658810548,492971,
0,-201120,-198720,43953127,1,-200275,56075907861757310113,86507795788,1139490236,2658810548,492971,
1,-201120,-198720,43954927,1,-200275,160906317225304394845,306925346633,1139490236,2658810548,492972,
0,-201120,-198720,43954927,1,-200275,56211552467264762736,86507795788,1139490236,2658810548,492972,
1,-201120,-198720,43956727,1,-200275,161804900586251908665,306925346633,1139490236,2658810548,492973,
0,-201120,-198720,43956727,1,-200275,57110135828212276556,86507795788,1139490236,2658810548,492973,
1,-201120,-198720,43958527,1,-200275,165383040387868824664,327835613050,1139490236,2658810548,492974,
0,-201120,-198720,43958527,1,-200275,60688275629829192555,107418062205,1139490236,2658810548,492974,
1,-201120,-198720,43960327,1,-200275,167714450030471069089,327835613050,1139490236,2658810548,492975,
0,-201120,-198720,43960327,1,-200275,63019685272431436980,107418062205,1139490236,2658810548,492975,
1,-201120,-198720,43962127,1,-200275,169702007739177005400,327835613050,1139490236,2658810548,492976,
0,-201120,-198720,43962127,1,-200275,65007242981137373291,107418062205,1139490236,2658810548,492976,
